color,size,category,brand,initial_price,reviews_count,rating,in_stock,final_price
Multicolor,one-size,Labeling Supplies,Unbeatablesale,19.13,0,0,True,19.13
Black,90,Kids Belts & Suspenders,SHEIN,3.6,0,0,True,3.1
Multicolor,one-size,"Pet Collars, Leashes & Harnesses Sets",Unbeatablesale,48.12,0,0,True,48.12
Apricot,40*50,Paint By Number & Accessories,SHEIN,6.4,0,0,True,6.2
Blue,M,Other (Swim Gear),SHEIN,59.99,0,0,True,30.99
Blue Denim,US 11,Women's Running Shoes,Asics,162.75,0,0,True,162.75
Multicolor,one-size,Mouthwash,SHEIN,27.0,0,0,True,24.99
Gold,one-size,Hair Claws,SHEIN,1.6,0,0,True,1.6
Multicolor,one-size,Fidget Toys for Teenager,SHEIN,24.8,0,0,True,18.8
Multicolor,one-size,Hair Clips,SHEIN,3.8,0,0,True,3.6
Multicolor,one-size,Hair Claws,SHEIN,1.4,0,0,True,1.4
Multicolor,one-size,Hair Clips,SHEIN,3.2,0,0,True,2.56
Pink Rabbit Box,one-size,Hair Clips,SHEIN,2.3,0,0,True,1.38
Multicolor,one-size,Cipher Locks,SHEIN,4.0,0,0,True,3.8
Multicolor,one-size,Artificial Grass,Unbeatablesale,24.5,0,0,True,24.5
Red,1PC,Artificial Flowers,SHEIN,2.7,0,0,True,2.6
Gold,Small/Medium,Women Pendant Necklaces,Fossil,54.25,0,0,True,54.25
Medium Blue,18w,Women Jeans,SHEIN,78.0,0,0,True,55.0
,Grey,Women Sports Glasses,SHEIN,4.4,0,0,True,4.2
Burnt Orange,9*9*10cm,Jar Candles,SHEIN,9.0,0,0,True,8.7
Multicolor,one-size,Kids Writing Tools,SHEIN,2.3,0,0,True,2.3
,Black,Electric Kettles,SHEIN,37.8,0,0,True,18.9
Black,24 inch,Synthetic Woven Wigs,SHEIN,14.6,0,0,True,12.7
White,one-size,Edge Protection,SHEIN,2.2,0,0,True,2.1
Multicolor,Pink,Pencil Bags,SHEIN,4.3,0,0,True,2.15
Green,3.4oz,Perfume,Paris Hilton,48.66,0,0,True,37.69
DimGrey,60*60,Cushion Cover,Jepeak,42.0,0,0,True,30.2
Black and White,Square,Press On False Nails,SHEIN,2.1,0,0,True,1.8
Multicolor,20Pcs,Fittings DIY & Tools,SHEIN,2.2,0,0,True,2.1
Pink,one-size,Hair Clips,SHEIN,1.5,0,0,True,1.4
Multicolor,M,Press On False Nails,ROMWE,7.2,0,0,True,6.3
Multicolor,one-size,Computer & Office Accessories,Unbeatablesale,48.79,0,0,True,48.79
,Grey,Floor-Standing Fountains,SHEIN,235.6,0,0,True,170.4
Multicolor,30pcs Graduation Candy Box,Gift Wrap Boxes,SHEIN,7.3,0,0,True,7.1
Multicolor,one-size,Posters & Prints,Unbeatablesale,10.67,0,0,True,10.67
Multicolor,Elephant Anti-fall Pillow,Baby Safety Harnesses & Leashes,SHEIN,17.4,0,0,True,11.31
Black,24 inch,Synthetic Extensions,SHEIN,7.0,0,0,True,3.5
Black,one-size,Women Top Handle Bags,SHEIN,10.5,0,0,True,6.83
White,TU,Women Top Handle Bags,Marc Jacobs,504.16,0,0,True,381.5
Multicolor,one-size,"Clothes, Carpets and Leather Cleaners, Bleaches & Softeners",SHEIN,3.5,0,0,True,3.4
Rice Flower 3 Pieces,10mm,Straw,SHEIN,1.9,0,0,True,1.8
Multicolor,one-size,Whiteboard,Unbeatablesale,26.69,0,0,True,26.69
,one-size,Women Dangle Earrings,SHEIN,14.7,0,0,True,14.7
Multicolor,one-size,Bird Toys,Unbeatablesale,20.93,0,0,True,20.93
Multicolor,one-size,Decorative Balloons,SHEIN,2.8,0,0,True,2.7
Black,one-size,Sports Glasses,SHEIN,3.6,0,0,True,2.74
Multicolor,one-size,Gardening Tools,Unbeatablesale,158.02,0,0,True,158.02
C2 Blue Frame/Blue Lens,one-size,Kids Sports Goggles,SHEIN,39.99,0,0,True,29.99
